AL@ALOUI ;oran ;75 ;75 ;0 
1 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
3 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7500 
66 ;d ;o ;12/12/2018 ;12/12/2018 ;AAA ;11500 
9 ;d ;o ;29/4/2018 ;8/5/2018 ;Sarah ;11500 
2 ;i ;o ;29/4/2018 ;30/4/2018 ;mohamed ;7500 
NOVOTEL ;SETIF ;65 ;65 ;0 
1 ;i ;l ;28/4/2018 ;28/4/2018 ;wail ;10000 
2 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
3 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
4 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
5 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
6 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
7 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
8 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
9 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
10 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
101 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
102 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
103 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
104 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
105 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
106 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
107 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
108 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
109 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
110 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
201 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
202 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
203 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
204 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
205 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
206 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
207 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
208 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
209 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
301 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
20 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
21 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
22 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
23 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
24 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
25 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
26 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
27 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
28 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
29 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
120 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
121 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
122 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
123 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
124 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
125 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
126 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
127 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
128 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
129 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
220 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
221 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
222 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
223 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
224 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
225 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
226 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
227 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
228 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
229 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
230 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
231 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
232 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
320 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
321 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;14000 
SOUMAM ;BEJAIA ;20 ;20 ;0 
1 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;80000 
3 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
203 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
204 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
205 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
206 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
207 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
208 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
209 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
301 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;8000 
20 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
21 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
22 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
23 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
24 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
25 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
26 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
27 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
28 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
29 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;10000 
ZIDAN ;SETIF ;65 ;61 ;4 
7 ;i ;l ;29/4/2018 ;29/4/2018 ;salo ;7000 
4 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
5 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
6 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
8 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
9 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
101 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
102 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
103 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
104 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
105 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
106 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
107 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
108 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
109 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
110 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
201 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
202 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
203 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
204 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
205 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
206 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
207 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
208 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
209 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
301 ;i ;l ;00/00/0000 ;00/00/0000 ;UT ;7000 
20 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
21 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
22 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
23 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
24 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
25 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
26 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
27 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
28 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
29 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
120 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
121 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
122 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
123 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
124 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
125 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
126 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
127 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
128 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
129 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
220 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
221 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
222 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
223 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
224 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
225 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
226 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
227 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
228 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
229 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
230 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
231 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
232 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
320 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
321 ;d ;l ;00/00/0000 ;00/00/0000 ;UT ;11000 
1 ;i ;o ;28/4/2018 ;29/4/2018 ;al ;7000 
10 ;i ;o ;28/4/2018 ;29/4/2018 ;JA ;7000 
3 ;i ;o ;28/4/2018 ;29/4/2018 ;ABDERRAHMANE ;7000 
2 ;i ;o ;30/4/2018 ;30/4/2018 ;lina ;7000 
